country,year,co2_emissions,greenhouse_gas_emissions,cereal_yield,population_growth,GDP,fresh_water,urban_population,renewable_electricity,total_population,renewable_energy_consumption
Lesotho,1992,,3227.292851,,,,,,,,
Lesotho,1991,,3016.594818,,,,,,,,
Lesotho,1990,,2968.466485,,,,,,,,
Lithuania,2020,,19784.73208,,,,,,,,
Lithuania,2019,,19779.96072,,,,,,,,
Lithuania,2018,,19652.27895,,,,,,,,
Lithuania,2017,,19565.53059,,,,,,,,
Lithuania,2016,,19644.71503,,,,,,,,
Lithuania,2015,,19619.97824,,,,,,,,
Lithuania,2014,,19359.6328,,,,,,,,
Lithuania,2013,,19812.43774,,,,,,,,
Lithuania,2012,,20704.41837,,,,,,,,
Lithuania,2011,,20784.51278,,,,,,,,
Lithuania,2010,,21316.66855,,,,,,,,
Lithuania,2009,,20511.30012,,,,,,,,
Lithuania,2008,,24087.47404,,,,,,,,
